group_id,Catalog,RA,Dec,Redshift,RA_xray_peak,Dec_xray_peak,cutout_arcsec
11,CW-All,150.31398,2.2772178,2.619999885559082,,,120
22,CW-All,150.2089,2.3922281,2.759999990463257,,,120
23,CW-All,150.03875,2.4472289,3.619999885559082,,,120
50,CW-All,150.05877,2.4422299,3.6700000762939458,,,120
55,CW-All,150.36405,2.4672103,2.509999990463257,,,120
67,CW-All,149.91365,2.3572172,2.809999942779541,,,120
80,CW-All,150.364,2.1872103,3.650000095367432,,,120
82,CW-All,150.44912,2.4571937,2.9000000953674316,,,120
99,CW-All,149.95365,2.6522221,3.180000066757202,,,120
110,CW-All,150.44411,2.4121948,2.5999999046325684,,,120
114,CW-All,149.95368,2.4272221,3.6700000762939458,,,120
118,CW-All,150.10881,2.377231,2.490000009536743,,,120
142,CW-All,149.82864,2.0172031,3.609999895095825,,,120
156,CW-All,150.38407,2.5022069,3.140000104904175,,,120
169,CW-All,150.10882,1.972231,2.240000009536743,,,120
178,CW-All,150.29396,2.2772204,2.509999990463257,,,120
194,CW-All,150.03376,2.2172287,2.0999999046325684,,,120
196,CW-All,150.11882,1.922231,2.5799999237060547,,,120
197,CW-All,150.24888,1.7772251,3.4700000286102295,,,120
202,CW-All,150.23392,2.3372263,2.390000104904175,,,120
209,CW-All,150.37904,2.3472078,2.880000114440918,,,120
210,CW-All,150.43412,2.497197,3.430000066757202,,,120
225,CW-All,150.03876,2.2122289,3.25,,,120
236,CW-All,150.0938,2.3472308,2.3499999046325684,150.08801116135774,2.350349664907185,120
237,CW-All,149.92364,2.5072185,2.5799999237060547,,,120
248,CW-All,150.324,2.3972165,3.619999885559082,,,120
256,CW-All,150.11882,2.162231,2.200000047683716,,,120
268,CW-All,149.91367,2.2172172,3.440000057220459,,,120
287,CW-All,150.36403,2.3822103,2.4700000286102295,,,120
291,CW-All,150.00874,2.2722271,2.4100000858306885,,,120
300,CW-All,150.45912,2.3971915,2.8499999046325684,150.4650005854036,2.3958589368737604,120
339,CW-All,149.9687,2.3072236,3.119999885559082,,,120
346,CW-All,150.46414,2.4871903,3.069999933242798,,,120
361,CW-All,150.06379,1.94223,2.140000104904175,,,120
383,CW-All,150.00372,2.3872267,2.6700000762939453,,,120
384,CW-All,150.27393,2.1722226,2.180000066757202,,,120
392,CW-All,150.0938,2.5222308,3.4700000286102295,,,120
397,CW-All,150.20387,1.9872284,3.619999885559082,,,120
402,CW-All,149.86861,2.3472103,2.3499999046325684,,,120
414,CW-All,150.22389,2.0622271,3.3499999046325684,,,120
424,CW-All,150.44912,2.4221937,2.309999942779541,,,120
437,CW-All,150.24893,2.2822251,2.9800000190734863,,,120
445,CW-All,149.92363,2.5822185,3.640000104904175,,,120
460,CW-All,150.02374,2.3622281,2.1500000953674316,,,120
473,CW-All,150.45914,2.4821915,3.5299999713897705,,,120
480,CW-All,150.37398,2.0022086,2.3499999046325684,,,120
489,CW-All,149.7386,1.962183,3.700000047683716,149.73784213179204,1.9607389384913323,120
491,CW-All,150.2739,1.8722226,2.009999990463257,,,120
510,CW-All,149.82865,1.9922031,2.5299999713897705,,,120
537,CW-All,149.7936,2.107196,3.1700000762939453,,,120
574,CW-All,150.03876,2.2172289,3.0999999046325684,,,120
609,CW-All,150.04875,2.6372294,3.049999952316284,,,120
623,CW-All,149.82858,2.3422031,2.5299999713897705,,,120
624,CW-All,150.42911,2.4671981,2.680000066757202,,,120
636,CW-All,149.84358,2.412206,2.4600000381469727,,,120
656,CW-All,150.07378,2.3822304,2.430000066757202,,,120
662,CW-All,150.2139,2.2772278,2.440000057220459,,,120
667,CW-All,149.93365,2.5372198,2.309999942779541,,,120
678,CW-All,150.08379,2.3622306,3.4100000858306885,,,120
692,CW-All,150.38899,2.007206,2.75,,,120
700,CW-All,149.9687,2.3472236,2.5299999713897705,,,120
767,CW-All,149.99875,1.9722263,2.3499999046325684,149.99887873049062,1.971789087616494,120
768,CW-All,149.85859,2.4572086,3.660000085830689,,,120
797,CW-All,150.02878,1.8772284,2.1500000953674316,,,120
819,CW-All,149.8736,2.4672112,2.5,,,120
823,CW-All,149.83358,2.3972041,2.2799999713897705,149.84001874761472,2.3969897856274547,120
826,CW-All,150.27397,2.5422226,3.059999942779541,,,120
829,CW-All,150.31898,2.2822172,2.440000057220459,,,120
831,CW-All,149.92366,2.3622185,2.0899999141693115,,,120
836,CW-All,149.80357,2.2871981,3.259999990463257,,,120
846,CW-All,150.38407,2.4672069,3.25,,,120
866,CW-All,150.41407,2.3572012,2.390000104904175,,,120
883,CW-All,149.90366,2.2122158,2.380000114440918,,,120
908,CW-All,150.22891,2.2322267,2.369999885559082,,,120
916,CW-All,150.0888,2.4022307,2.130000114440918,,,120
917,CW-All,149.85361,2.2772078,3.119999885559082,,,120
922,CW-All,150.10381,2.4522309,2.9100000858306885,,,120
928,CW-All,149.89365,2.2322143,2.009999990463257,,,120
932,CW-All,149.9937,2.5922259,2.5199999809265137,,,120
957,CW-All,150.11382,2.317231,2.630000114440918,,,120
975,CW-All,150.01377,1.9172274,2.630000114440918,,,120
976,CW-All,150.49917,2.4571817,2.0,,,120
997,CW-All,150.28394,2.1672215,2.640000104904175,,,120
1018,CW-All,150.01376,2.0322274,2.450000047683716,,,120
1068,CW-All,150.45914,2.4671915,2.5399999618530273,,,120
1096,CW-All,150.09881,2.2022309,3.069999933242798,150.09766403105994,2.2015430293619977,120
1120,CW-All,149.93872,1.9372204,2.2799999713897705,,,120
1129,CW-All,150.06379,2.06223,3.2300000190734863,,,120
1154,CW-All,150.27397,2.5422226,2.7300000190734863,,,120
1155,CW-All,150.36405,2.4522103,3.4700000286102295,,,120
1182,CW-All,149.89861,2.532215,2.0899999141693115,,,120
1198,CW-All,150.20391,2.5572284,3.509999990463257,,,120
1204,CW-All,149.97372,2.1872241,3.4100000858306885,,,120
1208,CW-All,150.26391,2.0322236,2.559999942779541,,,120
1220,CW-All,149.95365,2.6522221,3.0899999141693115,,,120
1245,CW-All,150.38906,2.417206,2.6700000762939453,150.38849357433827,2.417389620469759,120
1257,CW-All,150.39901,2.0772041,3.5299999713897705,,,120
1274,CW-All,150.09381,2.1572308,3.140000104904175,,,120
1296,CW-All,149.93872,1.9372204,2.0299999713897705,,,120
1298,CW-All,149.94372,2.012221,2.6600000858306885,,,120
1328,CW-All,150.39899,1.9972041,2.630000114440918,,,120
1334,CW-All,150.11382,2.407231,3.2699999809265137,,,120
1350,CW-All,150.29397,2.3722204,2.319999933242798,,,120
1352,CW-All,149.75856,2.1871879,2.440000057220459,,,120
1374,CW-All,150.41402,2.0722012,2.4700000286102295,,,120
1384,CW-All,149.81861,2.1522012,2.2799999713897705,,,120
1390,CW-All,149.86361,2.3222095,2.1700000762939453,149.86449749348648,2.315884403955316,120
1395,CW-All,150.4241,2.4471991,3.0199999809265137,150.4239573285067,2.4443192726412764,120
1404,CW-All,150.02376,2.1472281,2.619999885559082,,,120
1415,CW-All,150.22892,2.4722267,2.740000009536743,150.22967156556018,2.473785764650306,120
1424,CW-All,149.82358,2.3522022,3.0199999809265137,,,120
1427,CW-All,150.09881,2.2372309,2.1700000762939453,,,120
1441,CW-All,150.49411,2.252183,2.7200000286102295,,,120
1449,CW-All,149.98374,1.9672251,2.5399999618530273,149.98289857350295,1.9661667061902248,120
1469,CW-All,150.22387,1.7972271,2.509999990463257,,,120
1472,CW-All,149.98871,2.4122255,2.049999952316284,,,120
1476,CW-All,150.11882,2.157231,2.859999895095825,,,120
1480,CW-All,149.81358,2.2922002,2.5,,,120
1490,CW-All,150.05876,2.6372299,2.809999942779541,150.05797608752076,2.634786678079741,120
1501,CW-All,150.01875,2.2122278,2.319999933242798,,,120
1561,CW-All,149.92366,2.3822185,3.190000057220459,,,120
1567,CW-All,149.83858,2.392205,2.930000066757202,149.84001874761472,2.3969897856274547,120
1621,CW-All,149.86861,2.3472103,2.109999895095825,,,120
1694,CW-All,150.01374,2.3472274,2.75,,,120
1719,CW-All,150.36904,2.3972095,2.859999895095825,,,120
1725,CW-All,150.09881,2.3772309,2.2899999618530273,,,120
1734,CW-All,150.22891,2.2572267,2.4700000286102295,,,120
1737,CW-All,149.93365,2.5022198,3.2799999713897705,149.93244415163136,2.503757267111123,120
1758,CW-All,150.06878,2.3422302,2.9100000858306885,,,120
1765,CW-All,150.05377,2.4322297,3.1600000858306885,,,120
1766,CW-All,149.91365,2.3522172,2.440000057220459,,,120
1799,CW-All,149.84361,2.267206,2.6600000858306885,,,120
1808,CW-All,150.20389,2.2472284,3.049999952316284,,,120
1813,CW-All,150.48916,2.4621842,2.509999990463257,,,120
