rank,Catalog,Group_ID,RA,DEC,Redshift,z_bin,SNR,Flux_erg_cm2_s,Luminosity_erg_s,Aperture_Arcsec,cutout_arcsec,R200_kpc,R200_Luminosity_kpc,RA_xray_peak,Dec_xray_peak,Net_Counts,Log10_M200_Luminosity
1,CW-All,41,150.444110,2.417195,0.160000,z<0.3,38.533462,0.000000,3496783333356029320988269366939944174485504.000000,120.000000,240.000000,692.604694,689.560424,150.394943,2.403653,0.007964,13.610135
2,CW-All,376,150.419100,2.457200,0.210000,z<0.3,29.325956,0.000000,3523413527824159584021944617750145997471744.000000,120.000000,240.000000,671.056354,668.067728,150.421637,2.423647,0.004302,13.592706
3,CW-All,1,149.918630,2.517218,0.710000,z=0.6-1.0,28.238056,0.000000,54113695943995784322606478262856399556968448.000000,93.034657,186.100000,836.631925,832.520469,149.917847,2.519222,0.003199,14.139065
4,CW-All,1122,150.489110,2.237184,0.190000,z<0.3,18.310604,0.000000,1767588304755012741632585980980220867379200.000000,120.000000,240.000000,587.044253,584.443346,150.490543,2.264744,0.002720,13.408857
5,CW-All,10,150.168850,1.782230,0.170000,z<0.3,16.864907,0.000000,1270621006325638893515268279663779781804032.000000,120.000000,240.000000,554.423559,551.980127,,,0.002522,13.324896
6,CW-All,58,150.183850,1.777229,0.470000,z=0.3-0.6,16.124178,0.000000,8021012034285667068516119528785361086971904.000000,89.865203,179.700000,665.042756,661.901427,,,0.001383,13.712894
7,CW-All,868,150.419090,2.407200,1.270000,z=1.0-1.5,15.821614,0.000000,80427716971425708841537383764647659767332864.000000,58.574670,117.100000,610.469337,607.308453,,,0.000989,14.014426
8,CW-All,124,150.389060,2.417206,0.330000,z=0.3-0.6,12.185758,0.000000,2565677519761361697361121676854694548340736.000000,96.718099,193.400000,577.078350,574.431971,150.394943,2.403653,0.001067,13.455619
9,CW-All,1739,150.178850,1.777230,0.970000,z=0.6-1.0,11.239514,0.000000,28535563650166033900470083020209283913482240.000000,60.763762,121.500000,603.421785,600.366727,,,0.000732,13.849430
10,CW-All,524,150.404080,2.462203,0.510000,z=0.3-0.6,10.720179,0.000000,5472761953140913372773504207352958826840064.000000,76.977794,154.000000,595.175560,592.342966,150.402736,2.444761,0.000766,13.589336
11,CW-All,600,150.103810,2.367231,0.330000,z=0.3-0.6,10.608028,0.000000,2223718071295865040731532927498130148032512.000000,93.811263,187.600000,559.734421,557.167578,150.088011,2.350350,0.000925,13.415860
12,CW-All,961,149.933640,2.607220,0.800000,z=0.6-1.0,9.795556,0.000000,13662262893419278379520834238731678744838144.000000,62.155442,124.300000,583.622501,580.720777,,,0.000588,13.717420
13,CW-All,35,150.083790,2.532231,0.890000,z=0.6-1.0,8.971669,0.000000,16240566686334219273096947482830644097056768.000000,58.410465,116.800000,566.937132,564.089519,150.076886,2.543680,0.000525,13.726764
14,CW-All,603,150.449110,2.412194,1.510000,z=1.5-2.5,7.138639,0.000000,53218838915083565434721883301991545445548032.000000,45.272843,90.500000,477.495257,474.993485,,,0.000407,13.807112
15,CW-All,933,150.103810,2.377231,1.050000,z=1.0-1.5,6.244879,0.000000,14863797188032165610456049649831976028340224.000000,49.050198,98.100000,495.901932,493.373521,,,0.000307,13.634607
16,CW-All,1253,150.093800,2.202231,1.100000,z=1.0-1.5,6.055297,0.000000,18312929526115695946810064316790973285793792.000000,49.059095,98.100000,500.519681,497.957562,,,0.000334,13.671905
17,CW-All,1770,150.168850,1.782230,1.520000,z=1.5-2.5,5.589883,0.000000,35546432095433460546688946563532877664878592.000000,41.268174,82.500000,435.325729,433.043976,,,0.000267,13.691202
18,CW-All,1384,149.818610,2.152201,2.280000,z=1.5-2.5,5.048929,0.000000,148936123389587549947912909917254942579490816.000000,35.620481,71.200000,381.123506,379.089352,,,0.000364,13.831887
19,CW-All,1476,150.118820,2.157231,2.860000,z>2.5,4.453352,0.000000,172459157100067604382713238667419024093085696.000000,30.559265,61.100000,296.443512,294.853954,,,0.000225,13.706770
20,CW-All,22,150.208900,2.392228,2.760000,z>2.5,4.398842,0.000000,150740171097609904546663228841038341851840512.000000,30.791021,61.600000,301.600208,299.983800,,,0.000217,13.696339
